관광지명(소재지역),위도,경도,주소
계룡사계고택,36.265625,127.2715655,충남 계룡시 두마면 두계리 96
계룡입암저수지,36.24240554,127.2553027,충남 계룡시 두마면 입암리 366-1
무상사(계룡),36.29163963,127.2123241,충남 계룡시 엄사면 향한리 452-13
염선재,36.26932891,127.2618584,충남 계룡시 금암동 45
갑사,36.36600145,127.1876411,충남 공주시 계룡면 중장리 52
계룡산도예촌,36.39000393,127.2150969,충남 공주시 반포면 상신리 555
계룡산자연사박물관,36.36638278,127.2448318,충남 공주시 반포면 학봉리 511-1
고마나루,36.46490994,127.1227079,충남 공주시 금성동 183-4
곰나루국민관광단지,36.47069606,127.1109871,충남 공주시 웅진동 437
공주동학사,36.35328809,127.2201161,충남 공주시 반포면 학봉리 789
공주민속극박물관,36.50179672,127.1477189,충남 공주시 의당면 청룡리 357-2
공주반죽동당간지주,36.45170998,127.1224228,충남 공주시 반죽동 300-2
공주산림휴양마을,36.4233121,127.1191578,충남 공주시 금학동 산 57
공주정지산유적,36.46897751,127.1176076,충남 공주시 금성동 산 1
공주향교,36.45838055,127.1168821,충남 공주시 교동 211
국립공주박물관,36.46550084,127.1119704,충남 공주시 웅진동 360
금강신관공원,36.46733749,127.1313463,충남 공주시 신관동 439-2
금강온천,36.46295732,127.1075487,충남 공주시 웅진동 299-3
금학생태공원,36.43328394,127.1240589,충남 공주시 금학동 111-1
노라쥬,36.64008167,127.120117,충남 공주시 정안면 인풍리 82-1
동혈사,36.55591225,127.1593134,충남 공주시 의당면 월곡리 271
로보카폴리안전체험공원,36.49440347,127.0990652,충남 공주시 월미동 395-7
마곡사천연송림욕장,36.56002668,127.0086281,충남 공주시 사곡면 운암리 산 74-2
명탄서원,36.45860112,127.1564211,충남 공주시 월송동 242-2
미르섬,36.46749207,127.1284189,충남 공주시 신관동 553
박동진판소리전수관,36.45818557,127.1709652,충남 공주시 무릉동 366-2
박찬호기념관,36.45900226,127.1266846,충남 공주시 산성동 147
선화당(공주),36.46597514,127.1097174,충남 공주시 웅진동 332-9
성곡사,36.50744366,127.0705673,충남 공주시 우성면 방문리 산 2
수리치골성지,36.51695711,126.8971258,충남 공주시 신풍면 봉갑리 383-3
신원사,36.33574827,127.1839586,충남 공주시 계룡면 양화리 8
연미산자연미술공원,36.47355484,127.1026048,충남 공주시 우성면 신웅리 산 26-8
영은사(공주),36.46327516,127.127921,충남 공주시 금성동 11-3
유구색동수국정원,36.55548369,126.9543915,충남 공주시 유구읍 유구리 648-17
유구천핑크뮬리,36.54996575,126.9562845,충남 공주시 유구읍 유구리 648-18
이안숲속,36.42204312,127.2001363,충남 공주시 반포면 마암리 648-3
임립미술관,36.39625398,127.1403136,충남 공주시 계룡면 기산리 476
정안천생태공원,36.4937561,127.134411,충남 공주시 의당면 청룡리 918
지당자연사박물관,36.32446465,127.0672303,충남 공주시 탄천면 광명리 93
청벽산,36.43013855,127.2209552,충남 공주시 반포면 마암리 산 4-4
충청남도역사박물관,36.45369893,127.1266693,충남 공주시 중동 284-1
충현서원,36.39762203,127.2495893,충남 공주시 반포면 공암리 381
풀꽃문학관,36.45362747,127.1199493,충남 공주시 반죽동 334-4
개덕사,36.23086056,127.5307008,충남 금산군 추부면 성당리 214-11
