설치장소명,종류,경도,위도
청운효자동주민센터,그늘막(고정형),126.9705976,37.5841381
사직동주민센터 앞 교통섬,그늘막(고정형),126.967264,37.5759361
경복궁역 1번출구 교통섬,그늘막(고정형),126.9722772,37.5763204
동화면세점 사거리 앞,그늘막(고정형),126.9762953,37.5696753
서울지방경찰청 민원봉사실 앞,그늘막(고정형),126.972062,37.5750216
새문안교회 앞 횡단보도,그늘막(스마트형),126.9738661,37.5707613
안국빌딩 앞 교통섬,그늘막(고정형),126.983442,37.5759017
동십자각 사거리 교통섬,그늘막(고정형),126.979867,37.5763068
상명대 입구 교차로 분수대 방면 교통섬,그늘막(고정형),126.9578386,37.5993909
세검정파출소 앞 교통섬,그늘막(스마트형),126.9585969,37.5996068
세검정 교차로 상명대입구 삼거리,그늘막(고정형),126.9573857,37.6000331
세검정새마을금고본점 앞,그늘막(고정형),126.9669603,37.6061071
,그늘막(스마트형),126.9721141,37.6080282
독립문역 2번 출구 앞,그늘막(고정형),126.9579603,37.5747425
독립문사거리 행촌동 방면 교통섬,그늘막(고정형),126.9600904,37.5727045
서대문역 3번 출구 앞,그늘막(고정형),126.9668616,37.5679159
경희궁자이아파트 401동 앞,그늘막(고정형),126.9635609,37.5708297
경희궁자이아파트 203동 앞,그늘막(고정형),126.9635609,37.5708297
재동초교 삼거리 재동맥주 앞,그늘막(고정형),126.9854521,37.5790053
원남동로터리 교통섬,그늘막(고정형),126.9971383,37.5765034
안국동사거리 동덕빌딩 붓조형물 앞,그늘막(스마트형),126.9831412,37.5753983
북인사관광안내소앞,그늘막(스마트형),126.9834929,37.5754348
안국동 사거리 서브웨이 앞 교통섬,그늘막(고정형),126.9824301,37.5752398
그랑서울 앞,그늘막(고정형),126.9829796,37.5704792
탑골공원 남서측 횡단보도,그늘막(고정형),126.9883535,37.571198
광화문 앞 열린마당 교통섬,그늘막(고정형),126.9779672,37.5748036
종각역 사거리 SC제일은행 방면 교통섬,그늘막(고정형),126.9823969,37.5711146
종로3가역 2번 출구,그늘막(고정형),126.9916565,37.5706809
종로3가역 13번 출구 앞,그늘막(고정형),126.9923613,37.570733
나르샤쥬얼리 앞,그늘막(고정형),126.9896641,37.5705654
나르샤쥬얼리 맞은편,그늘막(고정형),126.9896877,37.5700305
안국역 5번 출구 앞 교통섬,그늘막(고정형),126.9859657,37.5762856
종로플레이스 사거리,그늘막(고정형),126.9978075,37.5735195
영풍문고 앞 교통섬(종로1가 52-2 도),그늘막(고정형),126.9821316,37.5695795
종로타워 앞 교통섬(종로2가 1-2 도),그늘막(고정형),126.9838628,37.5704497
대한민국역사박물관 앞 횡단보도,그늘막(스마트형),126.9779261,37.5739187
KT광화문빌딩 West 앞 횡단보도,그늘막(스마트형),126.9779548,37.5721422
동대문성곽공원 앞,그늘막(고정형),127.0077279,37.5728042
성균관대학교 E-하우스 앞,그늘막(고정형),127.0068231,37.5740033
,그늘막(스마트형),127.006246,37.5738529
종로6가 꽃시장 입구,그늘막(고정형),127.0065136,37.5713686
흥인지문 JW메리어트호텔 교통섬,그늘막(고정형),127.0089126,37.5703941
이화사거리 이화동주민센터,그늘막(고정형),127.0025859,37.576522
이화사거리 홍익대 대학로캠퍼스 앞,그늘막(고정형),127.0014599,37.5765378
좋은공연안내센터 앞 횡단보도,그늘막(스마트형),127.0027113,37.5804808
,그늘막(고정형),127.0075163,37.5767907
혜화로터리 혜화파출소,그늘막(고정형),127.0014054,37.5861068
성균관대입구 사거리 교통섬,그늘막(고정형),126.9990476,37.5829697
동묘앞역 사거리 종로구민회관 방면,그늘막(고정형),127.0153298,37.5733327
대명수족관 앞,그늘막(고정형),127.0172349,37.5705941
흥인지문사거리 흥인지문공원 입구 횡단보도,그늘막(고정형),127.0094769,37.5716065
동대문역 3번 출구 앞,그늘막(고정형),127.0122462,37.5723086
동묘앞역 사거리 롯데캐슬방면,그늘막(스마트형),127.0161779,37.5738513
신설동역 교차로 우리은행 앞 교통섬,그늘막(고정형),127.0224669,37.5762062
숭인동 서울직업전문학교,그늘막(고정형),127.0190938,37.5743241
신설동역오거리 더플레이스위 홍보관 앞 교통섬,그늘막(고정형),127.0227207,37.5750495
,그늘막(고정형),127.0226602,37.5722451
국민은행 남대문지점 앞 교통섬,그늘막(고정형),126.9762396,37.5609178
한국은행 화폐박물관 앞,그늘막(고정형),126.9799919,37.5621502
시청역 8번 출구 앞 교통섬,그늘막(고정형),126.9762994,37.5636508
삼성본관 빌딩 앞,그늘막(고정형),126.9754514,37.5623846
신한은행 본점 앞,그늘막(고정형),126.9747497,37.5610295
대한상공회의소 앞 교통섬,그늘막(고정형),126.9738586,37.5605524
순화동 더? 아파트 앞,그늘막(고정형),126.9720654,37.5601765
농협중앙회 본점 앞,그늘막(고정형),126.9675449,37.5658572
덕수궁 대한문 앞,그늘막(고정형),126.9750354,37.565936
1호선,그늘막(고정형),126.976746,37.5644652
시청역 8번출구 맞은편,그늘막(고정형),126.9765925,37.5629926
서브웨이 시청 앞,그늘막(고정형),126.9766888,37.5622612
시청역 8번출구 앞 교통섬,그늘막(스마트형),126.9762994,37.5636508
회현사거리-1,그늘막(고정형),126.9811389,37.5609223
회현사거리-2,그늘막(고정형),126.9815052,37.559236
회현역 7번 출구 앞 교통섬,그늘막(고정형),126.9794911,37.5599039
회현역 1번 출구 앞,그늘막(고정형),126.9806365,37.5591263
회현역 7번 출구 앞,그늘막(고정형),126.9789999,37.5588336
남대문광장 앞 교통섬,그늘막(고정형),126.9763542,37.5602406
SK브로드밴드 본사 앞,그늘막(고정형),126.9760548,37.5563565
와이즈빌딩 앞-1,그늘막(고정형),126.9731482,37.5587401
와이즈빌딩 앞-2,그늘막(고정형),126.9731482,37.5587401
회현사거리-3,그늘막(고정형),126.9825475,37.5609448
회현사거리-4,그늘막(고정형),126.9829169,37.5601757
국민은행 명동역지점 앞,그늘막(고정형),126.9863598,37.5612886
뚜레쥬르 명동점 앞,그늘막(고정형),126.9860867,37.5611815
데이지 호텔 앞,그늘막(고정형),126.983631,37.5609515
교통섬,그늘막(고정형),126.9883542,37.564205
동화면세점 앞,그늘막(고정형),126.9764239,37.5689364
이화빌딩 앞,그늘막(고정형),126.9884718,37.561568
서울 도시건축전시관 앞,그늘막(고정형),126.9767073,37.5669413
"을지로입구역 1,2번 출구앞 교통섬",그늘막(고정형),126.9824892,37.5661981
"을지로입구역 3,4번출구 앞 교통섬",그늘막(고정형),126.9827733,37.5663887
"을지로입구역 5,6번 출구 앞 교통섬",그늘막(스마트형),126.9830109,37.5657758
"을지로입구역 7,8번 출구앞 교통섬",그늘막(스마트형),126.9819752,37.5658267
신한 L타워 앞,그늘막(고정형),126.9880784,37.5664879
기업은행본점(삼일대로방면),그늘막(고정형),126.9865612,37.5665015
기업은행본점(을지로 방면),그늘막(고정형),126.9865612,37.5665015
,그늘막(고정형),126.9871042,37.5657503
세븐일레븐 동국대점 앞,그늘막(고정형),126.9982987,37.5618706
기아오토큐 명동점 앞 교통섬,그늘막(고정형),126.9895487,37.5609433
매경미디어센터 앞,그늘막(고정형),126.9928422,37.5604895
GS칼텍스 앞,그늘막(고정형),126.9937135,37.560912
리라초등학교 정문 앞,그늘막(고정형),126.9879045,37.558413
