대명칭,경도,위도
우성스포츠센터,126.9098324,37.49238615
프레곤빌딩,126.9045751,37.48612718
하림빌딩,127.016646,37.4942835
크레신타워,127.0184781,37.51819518
한주실업빌딩,126.9439599,37.51350089
백광빌딩,126.9494413,37.48202004
서원빌딩,126.9460575,37.48224135
SC한보건설/귀족,127.1206262,37.52795523
브라운스톤천호,127.1238221,37.53803875
동우빌딩,127.138567,37.53505027
중부빌딩,127.1377322,37.53467648
일동빌딩,127.1262727,37.53822193
24시목포독천낙지,127.1264508,37.54619035
태성프라자,127.127782,37.55164308
삼정빌딩,127.1271963,37.55008364
동성빌딩,127.172715,37.55026047
흰돌교회,126.9027717,37.4910196
행진빌딩,126.9332911,37.51883858
한경빌딩,126.899379,37.49678044
송림빌딩,126.8993028,37.50297999
동화빌딩,126.9729754,37.56258352
선일빌딩,126.9965285,37.55960836
대한극장,126.9953747,37.56114301
신아빌딩,126.9730508,37.56492745
신영빌딩,127.021579,37.56535292
미래프라자개방화장실,126.9241614,37.55670045
논현빌딩,127.0203385,37.51144509
머리재빌딩,126.9983186,37.4810986
동국한방병원,126.9923509,37.49027434
예스씨제일은행,127.0478405,37.47418571
미켈란107빌딩,127.0604402,37.51489454
명품,127.1250601,37.49337006
대우유토피아,127.1076155,37.51545531
마포원조개방화장실,126.941816,37.5408383
입석빌딩개방화장실,126.915593,37.5614887
청기와예식장개방화장실,126.9185574,37.55707721
롯데리아,127.1438157,37.55301162
아시아선수촌 B동상가,127.0768984,37.50859645
보림빌딩,126.9859063,37.56425954
보승빌딩,126.9867879,37.5658747
삼구상사(주),126.9808055,37.56385398
한국교육학술정보관,127.0046533,37.56422022
안말어린이공원 공영주차장,127.1299215,37.53128609
KTF센터,126.9411694,37.51328756
이데아빌딩,126.9422671,37.51327397
"도봉소방서, 삼각산 파출소",127.0155807,37.61989684
세이브마트개방화장실,126.9176222,37.58668216
서울병원개방화장실,126.9307656,37.60879903
세광교회개방화장실,126.9130292,37.61466479
영신상가,126.9068441,37.51990781
오사빌딩,126.981514,37.48093097
대흥빌딩,126.9853494,37.56422346
동원빌딩,127.0165332,37.56433202
삼성생명대치타워,127.0535691,37.50556235
성원개발,127.061276,37.50690459
동도상가,127.0378378,37.52828255
동서상가,127.0388729,37.52800851
야구회관,127.0326617,37.48836706
성담빌딩,127.0507702,37.50577583
중구청소년수련관,127.0124751,37.55196114
케이티중앙지사,126.9826583,37.56186876
